years,months,days,price
2011,ENERO,1,94.75
2011,ENERO,2,94.75
2011,ENERO,3,94.84
2011,ENERO,4,93.53
2011,ENERO,5,95.5
2011,ENERO,6,94.52
2011,ENERO,7,93.33
2011,ENERO,8,93.33
2011,ENERO,9,93.33
2011,ENERO,10,95.7
2011,ENERO,11,97.61
2011,ENERO,12,98.12
2011,ENERO,13,98.06
2011,ENERO,14,98.68
2011,ENERO,15,98.68
2011,ENERO,16,98.68
2011,ENERO,17,97.43
2011,ENERO,18,97.8
2011,ENERO,19,98.16
2011,ENERO,20,96.58
2011,ENERO,21,97.6
2011,ENERO,22,97.6
2011,ENERO,23,97.6
2011,ENERO,24,96.61
2011,ENERO,25,95.25
2011,ENERO,26,97.91
2011,ENERO,27,97.39
2011,ENERO,28,99.42
2011,ENERO,29,99.42
2011,ENERO,30,99.42
2011,ENERO,31,101.01
2011,FEBRERO,1,101.74
2011,FEBRERO,2,102.34
2011,FEBRERO,3,101.76
2011,FEBRERO,4,99.83
2011,FEBRERO,5,99.83
2011,FEBRERO,6,99.83
2011,FEBRERO,7,99.25
2011,FEBRERO,8,99.92
2011,FEBRERO,9,101.82
2011,FEBRERO,10,100.87
2011,FEBRERO,11,101.43
2011,FEBRERO,12,101.43
2011,FEBRERO,13,101.43
2011,FEBRERO,14,103.08
2011,FEBRERO,15,101.64
2011,FEBRERO,16,103.78
2011,FEBRERO,17,102.59
2011,FEBRERO,18,102.52
2011,FEBRERO,19,102.52
2011,FEBRERO,20,102.52
2011,FEBRERO,21,105.74
2011,FEBRERO,22,105.78
2011,FEBRERO,23,111.25
2011,FEBRERO,24,111.36
2011,FEBRERO,25,112.14
2011,FEBRERO,26,112.14
2011,FEBRERO,27,112.14
2011,FEBRERO,28,111.8
2011,MARZO,1,115.42
2011,MARZO,2,116.35
2011,MARZO,3,114.79
2011,MARZO,4,115.97
2011,MARZO,5,115.97
2011,MARZO,6,115.97
2011,MARZO,7,115.04
2011,MARZO,8,113.06
2011,MARZO,9,115.94
2011,MARZO,10,115.43
2011,MARZO,11,113.84
2011,MARZO,12,113.84
2011,MARZO,13,113.84
2011,MARZO,14,113.67
2011,MARZO,15,108.52
2011,MARZO,16,110.62
2011,MARZO,17,114.9
2011,MARZO,18,113.93
2011,MARZO,19,113.93
2011,MARZO,20,113.93
2011,MARZO,21,114.96
2011,MARZO,22,115.7
2011,MARZO,23,115.55
2011,MARZO,24,115.72
2011,MARZO,25,115.59
2011,MARZO,26,115.59
2011,MARZO,27,115.59
2011,MARZO,28,114.8
2011,MARZO,29,115.16
2011,MARZO,30,115.13
2011,MARZO,31,117.36
2011,ABRIL,1,118.7
2011,ABRIL,2,118.7
2011,ABRIL,3,118.7
2011,ABRIL,4,121.06
2011,ABRIL,5,122.22
2011,ABRIL,6,122.3
2011,ABRIL,7,122.67
2011,ABRIL,8,126.65
2011,ABRIL,9,126.65
2011,ABRIL,10,126.65
2011,ABRIL,11,123.98
2011,ABRIL,12,120.92
2011,ABRIL,13,122.88
2011,ABRIL,14,122.36
2011,ABRIL,15,123.45
2011,ABRIL,16,123.45
2011,ABRIL,17,123.45
2011,ABRIL,18,121.61
2011,ABRIL,19,121.33
2011,ABRIL,20,123.85
2011,ABRIL,21,123.99
2011,ABRIL,22,123.99
2011,ABRIL,23,123.99
2011,ABRIL,24,123.99
2011,ABRIL,25,123.66
2011,ABRIL,26,124.14
2011,ABRIL,27,125.13
2011,ABRIL,28,125.02
2011,ABRIL,29,125.89
2011,ABRIL,30,125.89
2011,MAYO,1,125.89
2011,MAYO,2,125.12
2011,MAYO,3,122.45
2011,MAYO,4,121.19
2011,MAYO,5,110.8
2011,MAYO,6,109.13
2011,MAYO,7,109.13
2011,MAYO,8,109.13
2011,MAYO,9,115.9
2011,MAYO,10,117.63
2011,MAYO,11,112.57
2011,MAYO,12,112.98
2011,MAYO,13,113.83
2011,MAYO,14,113.83
2011,MAYO,15,113.83
2011,MAYO,16,112.73
2011,MAYO,17,109.99
2011,MAYO,18,112.3
2011,MAYO,19,111.42
2011,MAYO,20,112.39
2011,MAYO,21,112.39
2011,MAYO,22,112.39
2011,MAYO,23,110.1
2011,MAYO,24,112.53
2011,MAYO,25,114.93
2011,MAYO,26,115.05
2011,MAYO,27,115.03
2011,MAYO,28,115.03
2011,MAYO,29,115.03
2011,MAYO,30,114.68
2011,MAYO,31,116.73
2011,JUNIO,1,114.53
2011,JUNIO,2,115.54
2011,JUNIO,3,115.84
2011,JUNIO,4,115.84
2011,JUNIO,5,115.84
2011,JUNIO,6,114.48
2011,JUNIO,7,116.78
2011,JUNIO,8,117.85
2011,JUNIO,9,119.57
2011,JUNIO,10,118.78
2011,JUNIO,11,118.78
2011,JUNIO,12,118.78
2011,JUNIO,13,119.1
2011,JUNIO,14,120.16
2011,JUNIO,15,117.1
2011,JUNIO,16,114.02
2011,JUNIO,17,113.21
2011,JUNIO,18,113.21
2011,JUNIO,19,113.21
2011,JUNIO,20,111.69
2011,JUNIO,21,110.95
2011,JUNIO,22,114.21
2011,JUNIO,23,107.26
2011,JUNIO,24,105.12
2011,JUNIO,25,105.12
2011,JUNIO,26,105.12
2011,JUNIO,27,105.99
2011,JUNIO,28,108.78
2011,JUNIO,29,112.4
2011,JUNIO,30,112.48
2011,JULIO,1,111.77
2011,JULIO,2,111.77
2011,JULIO,3,111.77
2011,JULIO,4,111.39
2011,JULIO,5,113.61
2011,JULIO,6,113.62
2011,JULIO,7,118.59
2011,JULIO,8,118.33
2011,JULIO,9,118.33
2011,JULIO,10,118.33
2011,JULIO,11,117.24
2011,JULIO,12,117.75
2011,JULIO,13,118.78
2011,JULIO,14,118.32
2011,JULIO,15,117.26
2011,JULIO,16,117.26
2011,JULIO,17,117.26
2011,JULIO,18,116.05
2011,JULIO,19,117.06
2011,JULIO,20,118.15
2011,JULIO,21,117.51
2011,JULIO,22,118.67
2011,JULIO,23,118.67
2011,JULIO,24,118.67
2011,JULIO,25,117.94
2011,JULIO,26,118.28
2011,JULIO,27,117.43
2011,JULIO,28,117.36
2011,JULIO,29,116.74
2011,JULIO,30,116.74
2011,JULIO,31,116.74
2011,AGOSTO,1,116.81
2011,AGOSTO,2,116.46
2011,AGOSTO,3,113.23
2011,AGOSTO,4,107.25
2011,AGOSTO,5,109.37
2011,AGOSTO,6,109.37
2011,AGOSTO,7,109.37
2011,AGOSTO,8,103.74
2011,AGOSTO,9,102.57
2011,AGOSTO,10,106.68
2011,AGOSTO,11,108.02
2011,AGOSTO,12,108.03
2011,AGOSTO,13,108.03
2011,AGOSTO,14,108.03
2011,AGOSTO,15,109.91
2011,AGOSTO,16,109.47
2011,AGOSTO,17,110.6
2011,AGOSTO,18,106.99
2011,AGOSTO,19,108.62
2011,AGOSTO,20,108.62
2011,AGOSTO,21,108.62
2011,AGOSTO,22,108.36
2011,AGOSTO,23,109.31
2011,AGOSTO,24,110.15
2011,AGOSTO,25,110.62
2011,AGOSTO,26,111.36
2011,AGOSTO,27,111.36
2011,AGOSTO,28,111.36
2011,AGOSTO,29,111.88
2011,AGOSTO,30,114.02
2011,AGOSTO,31,114.85
2011,SEPTIEMBRE,1,114.29
2011,SEPTIEMBRE,2,112.33
2011,SEPTIEMBRE,3,112.33
2011,SEPTIEMBRE,4,112.33
2011,SEPTIEMBRE,5,110.08
2011,SEPTIEMBRE,6,112.89
2011,SEPTIEMBRE,7,115.8
2011,SEPTIEMBRE,8,114.55
2011,SEPTIEMBRE,9,112.77
2011,SEPTIEMBRE,10,112.77
2011,SEPTIEMBRE,11,112.77
2011,SEPTIEMBRE,12,112.25
2011,SEPTIEMBRE,13,111.89
2011,SEPTIEMBRE,14,112.4
2011,SEPTIEMBRE,15,115.34
2011,SEPTIEMBRE,16,112.22
2011,SEPTIEMBRE,17,112.22
2011,SEPTIEMBRE,18,112.22
2011,SEPTIEMBRE,19,109.14
2011,SEPTIEMBRE,20,110.54
2011,SEPTIEMBRE,21,110.36
2011,SEPTIEMBRE,22,105.49
2011,SEPTIEMBRE,23,103.97
2011,SEPTIEMBRE,24,103.97
2011,SEPTIEMBRE,25,103.97
2011,SEPTIEMBRE,26,103.94
2011,SEPTIEMBRE,27,107.14
2011,SEPTIEMBRE,28,103.81
2011,SEPTIEMBRE,29,103.95
2011,SEPTIEMBRE,30,102.76
2011,OCTUBRE,1,102.76
2011,OCTUBRE,2,102.76
2011,OCTUBRE,3,101.71
2011,OCTUBRE,4,99.79
2011,OCTUBRE,5,102.73
2011,OCTUBRE,6,105.73
2011,OCTUBRE,7,105.88
2011,OCTUBRE,8,105.88
2011,OCTUBRE,9,105.88
2011,OCTUBRE,10,108.95
2011,OCTUBRE,11,110.73
2011,OCTUBRE,12,111.36
2011,OCTUBRE,13,111.11
2011,OCTUBRE,14,114.68
2011,OCTUBRE,15,114.68
2011,OCTUBRE,16,114.68
2011,OCTUBRE,17,110.16
2011,OCTUBRE,18,111.15
2011,OCTUBRE,19,108.39
2011,OCTUBRE,20,109.76
2011,OCTUBRE,21,109.56
2011,OCTUBRE,22,109.56
2011,OCTUBRE,23,109.56
2011,OCTUBRE,24,111.45
2011,OCTUBRE,25,110.92
2011,OCTUBRE,26,108.91
2011,OCTUBRE,27,112.08
2011,OCTUBRE,28,109.91
2011,OCTUBRE,29,109.91
2011,OCTUBRE,30,109.91
2011,OCTUBRE,31,109.56
2011,NOVIEMBRE,1,109.54
2011,NOVIEMBRE,2,109.34
2011,NOVIEMBRE,3,110.83
2011,NOVIEMBRE,4,111.97
2011,NOVIEMBRE,5,111.97
2011,NOVIEMBRE,6,111.97
2011,NOVIEMBRE,7,114.56
2011,NOVIEMBRE,8,115
2011,NOVIEMBRE,9,112.31
2011,NOVIEMBRE,10,113.71
2011,NOVIEMBRE,11,114.16
2011,NOVIEMBRE,12,114.16
2011,NOVIEMBRE,13,114.16
2011,NOVIEMBRE,14,111.89
2011,NOVIEMBRE,15,112.39
2011,NOVIEMBRE,16,111.88
2011,NOVIEMBRE,17,108.22
2011,NOVIEMBRE,18,107.56
2011,NOVIEMBRE,19,107.56
2011,NOVIEMBRE,20,107.56
2011,NOVIEMBRE,21,106.88
2011,NOVIEMBRE,22,109.03
2011,NOVIEMBRE,23,107.02
2011,NOVIEMBRE,24,107.78
2011,NOVIEMBRE,25,106.4
2011,NOVIEMBRE,26,106.4
2011,NOVIEMBRE,27,106.4
2011,NOVIEMBRE,28,109
2011,NOVIEMBRE,29,110.82
2011,NOVIEMBRE,30,110.52
2011,DICIEMBRE,1,108.99
2011,DICIEMBRE,2,109.94
2011,DICIEMBRE,3,109.94
2011,DICIEMBRE,4,109.94
2011,DICIEMBRE,5,109.81
2011,DICIEMBRE,6,110.81
2011,DICIEMBRE,7,109.53
2011,DICIEMBRE,8,108.11
2011,DICIEMBRE,9,108.62
2011,DICIEMBRE,10,108.62
2011,DICIEMBRE,11,108.62
2011,DICIEMBRE,12,107.26
2011,DICIEMBRE,13,109.5
2011,DICIEMBRE,14,105.02
2011,DICIEMBRE,15,105.09
2011,DICIEMBRE,16,103.35
2011,DICIEMBRE,17,103.35
2011,DICIEMBRE,18,103.35
2011,DICIEMBRE,19,103.64
2011,DICIEMBRE,20,106.73
2011,DICIEMBRE,21,107.71
2011,DICIEMBRE,22,107.89
2011,DICIEMBRE,23,107.96
2011,DICIEMBRE,24,107.96
2011,DICIEMBRE,25,107.96
2011,DICIEMBRE,26,107.96
2011,DICIEMBRE,27,109.27
2011,DICIEMBRE,28,107.56
2011,DICIEMBRE,29,108.01
2011,DICIEMBRE,30,107.38
2011,DICIEMBRE,31,107.38
2012,ENERO,1,107.38
2012,ENERO,2,107.38
2012,ENERO,3,112.13
2012,ENERO,4,113.7
2012,ENERO,5,112.74
2012,ENERO,6,113.06
2012,ENERO,7,113.06
2012,ENERO,8,113.06
2012,ENERO,9,112.45
2012,ENERO,10,113.28
2012,ENERO,11,112.24
2012,ENERO,12,111.26
2012,ENERO,13,110.44
2012,ENERO,14,110.44
2012,ENERO,15,110.44
2012,ENERO,16,111.2
2012,ENERO,17,111.53
2012,ENERO,18,110.66
2012,ENERO,19,111.55
2012,ENERO,20,109.86
2012,ENERO,21,109.86
2012,ENERO,22,109.86
2012,ENERO,23,110.58
2012,ENERO,24,110.03
2012,ENERO,25,109.81
2012,ENERO,26,110.79
2012,ENERO,27,111.46
2012,ENERO,28,111.46
2012,ENERO,29,111.46
2012,ENERO,30,110.75
2012,ENERO,31,110.98
2012,FEBRERO,1,111.56
2012,FEBRERO,2,112.07
2012,FEBRERO,3,114.58
2012,FEBRERO,4,114.58
2012,FEBRERO,5,114.58
2012,FEBRERO,6,115.93
2012,FEBRERO,7,116.23
2012,FEBRERO,8,117.2
2012,FEBRERO,9,118.59
2012,FEBRERO,10,117.31
2012,FEBRERO,11,117.31
2012,FEBRERO,12,117.31
2012,FEBRERO,13,117.93
2012,FEBRERO,14,118.16
2012,FEBRERO,15,118.93
2012,FEBRERO,16,120.11
2012,FEBRERO,17,119.58
2012,FEBRERO,18,119.58
2012,FEBRERO,19,119.58
2012,FEBRERO,20,120.05
2012,FEBRERO,21,121.66
2012,FEBRERO,22,122.9
2012,FEBRERO,23,123.62
2012,FEBRERO,24,125.47
2012,FEBRERO,25,125.47
2012,FEBRERO,26,125.47
2012,FEBRERO,27,124.17
2012,FEBRERO,28,121.55
2012,FEBRERO,29,122.66
2012,MARZO,1,126.2
2012,MARZO,2,123.65
2012,MARZO,3,123.65
2012,MARZO,4,123.65
2012,MARZO,5,123.8
2012,MARZO,6,121.98
2012,MARZO,7,124.12
2012,MARZO,8,125.44
2012,MARZO,9,125.98
2012,MARZO,10,125.98
2012,MARZO,11,125.98
2012,MARZO,12,125.34
2012,MARZO,13,126.22
2012,MARZO,14,124.97
2012,MARZO,15,123.55
2012,MARZO,16,125.81
2012,MARZO,17,125.81
2012,MARZO,18,125.81
2012,MARZO,19,125.71
2012,MARZO,20,124.12
2012,MARZO,21,124.2
2012,MARZO,22,123.14
2012,MARZO,23,125.13
2012,MARZO,24,125.13
2012,MARZO,25,125.13
2012,MARZO,26,125.65
2012,MARZO,27,125.54
2012,MARZO,28,124.16
2012,MARZO,29,122.39
2012,MARZO,30,122.88
2012,MARZO,31,122.88
2012,ABRIL,1,122.88
2012,ABRIL,2,125.43
2012,ABRIL,3,124.86
2012,ABRIL,4,122.34
2012,ABRIL,5,123.43
2012,ABRIL,6,123.43
2012,ABRIL,7,123.43
2012,ABRIL,8,123.43
2012,ABRIL,9,122.67
2012,ABRIL,10,119.88
2012,ABRIL,11,120.18
2012,ABRIL,12,121.71
2012,ABRIL,13,121.83
2012,ABRIL,14,121.83
2012,ABRIL,15,121.83
2012,ABRIL,16,118.68
2012,ABRIL,17,118.78
2012,ABRIL,18,117.97
2012,ABRIL,19,118
2012,ABRIL,20,118.76
2012,ABRIL,21,118.76
2012,ABRIL,22,118.76
2012,ABRIL,23,118.71
2012,ABRIL,24,118.16
2012,ABRIL,25,119.12
2012,ABRIL,26,119.92
2012,ABRIL,27,119.83
2012,ABRIL,28,119.83
2012,ABRIL,29,119.83
2012,ABRIL,30,119.47
2012,MAYO,1,119.66
2012,MAYO,2,118.2
2012,MAYO,3,116.08
2012,MAYO,4,113.18
2012,MAYO,5,113.18
2012,MAYO,6,113.18
2012,MAYO,7,113.16
2012,MAYO,8,112.73
2012,MAYO,9,113.2
2012,MAYO,10,112.73
2012,MAYO,11,112.26
2012,MAYO,12,112.26
2012,MAYO,13,112.26
2012,MAYO,14,111.57
2012,MAYO,15,112.24
2012,MAYO,16,111.71
2012,MAYO,17,107.49
2012,MAYO,18,107.14
2012,MAYO,19,107.14
2012,MAYO,20,107.14
2012,MAYO,21,108.81
2012,MAYO,22,108.41
2012,MAYO,23,105.56
2012,MAYO,24,106.55
2012,MAYO,25,106.83
2012,MAYO,26,106.83
2012,MAYO,27,106.83
2012,MAYO,28,107.11
2012,MAYO,29,106.68
2012,MAYO,30,103.47
2012,MAYO,31,101.87
2012,JUNIO,1,98.43
2012,JUNIO,2,98.43
2012,JUNIO,3,98.43
2012,JUNIO,4,98.85
2012,JUNIO,5,98.84
2012,JUNIO,6,100.64
2012,JUNIO,7,99.93
2012,JUNIO,8,99.47
2012,JUNIO,9,99.47
2012,JUNIO,10,99.47
2012,JUNIO,11,98
2012,JUNIO,12,97.14
2012,JUNIO,13,97.13
2012,JUNIO,14,97.03
2012,JUNIO,15,97.61
2012,JUNIO,16,97.61
2012,JUNIO,17,97.61
2012,JUNIO,18,96.05
2012,JUNIO,19,95.76
2012,JUNIO,20,92.69
2012,JUNIO,21,89.23
2012,JUNIO,22,90.98
2012,JUNIO,23,90.98
2012,JUNIO,24,90.98
2012,JUNIO,25,91.01
2012,JUNIO,26,93.02
2012,JUNIO,27,93.5
2012,JUNIO,28,91.36
2012,JUNIO,29,97.8
2012,JUNIO,30,97.8
2012,JULIO,1,97.8
2012,JULIO,2,97.34
2012,JULIO,3,100.68
2012,JULIO,4,99.77
2012,JULIO,5,100.7
2012,JULIO,6,98.19
2012,JULIO,7,98.19
2012,JULIO,8,98.19
2012,JULIO,9,100.32
2012,JULIO,10,97.97
2012,JULIO,11,100.23
2012,JULIO,12,101.07
2012,JULIO,13,102.4
2012,JULIO,14,102.4
2012,JULIO,15,102.4
2012,JULIO,16,103.55
2012,JULIO,17,104
2012,JULIO,18,105.16
2012,JULIO,19,107.8
2012,JULIO,20,106.83
2012,JULIO,21,106.83
2012,JULIO,22,106.83
2012,JULIO,23,103.26
2012,JULIO,24,103.42
2012,JULIO,25,104.38
2012,JULIO,26,105.26
2012,JULIO,27,106.47
2012,JULIO,28,106.47
2012,JULIO,29,106.47
2012,JULIO,30,106.2
2012,JULIO,31,104.92
2012,AGOSTO,1,105.96
2012,AGOSTO,2,105.9
2012,AGOSTO,3,108.94
2012,AGOSTO,4,108.94
2012,AGOSTO,5,108.94
2012,AGOSTO,6,109.55
2012,AGOSTO,7,112
2012,AGOSTO,8,112.14
2012,AGOSTO,9,113.22
2012,AGOSTO,10,112.95
2012,AGOSTO,11,112.95
2012,AGOSTO,12,112.95
2012,AGOSTO,13,113.6
2012,AGOSTO,14,114.03
2012,AGOSTO,15,116.25
2012,AGOSTO,16,116.9
2012,AGOSTO,17,113.71
2012,AGOSTO,18,113.71
2012,AGOSTO,19,113.71
2012,AGOSTO,20,113.7
2012,AGOSTO,21,114.64
2012,AGOSTO,22,114.91
2012,AGOSTO,23,115.01
2012,AGOSTO,24,113.59
2012,AGOSTO,25,113.59
2012,AGOSTO,26,113.59
2012,AGOSTO,27,112.26
2012,AGOSTO,28,112.58
2012,AGOSTO,29,112.54
2012,AGOSTO,30,112.65
2012,AGOSTO,31,114.57
2012,SEPTIEMBRE,1,114.57
2012,SEPTIEMBRE,2,114.57
2012,SEPTIEMBRE,3,115.78
2012,SEPTIEMBRE,4,114.18
2012,SEPTIEMBRE,5,113.09
2012,SEPTIEMBRE,6,113.49
2012,SEPTIEMBRE,7,114.25
2012,SEPTIEMBRE,8,114.25
2012,SEPTIEMBRE,9,114.25
2012,SEPTIEMBRE,10,114.81
2012,SEPTIEMBRE,11,115.4
2012,SEPTIEMBRE,12,115.96
2012,SEPTIEMBRE,13,116.9
2012,SEPTIEMBRE,14,116.66
2012,SEPTIEMBRE,15,116.66
2012,SEPTIEMBRE,16,116.66
2012,SEPTIEMBRE,17,113.79
2012,SEPTIEMBRE,18,112.03
2012,SEPTIEMBRE,19,108.19
2012,SEPTIEMBRE,20,110.03
2012,SEPTIEMBRE,21,111.42
2012,SEPTIEMBRE,22,111.42
2012,SEPTIEMBRE,23,111.42
2012,SEPTIEMBRE,24,109.81
2012,SEPTIEMBRE,25,110.45
2012,SEPTIEMBRE,26,110.04
2012,SEPTIEMBRE,27,112.01
2012,SEPTIEMBRE,28,112.39
2012,SEPTIEMBRE,29,112.39
2012,SEPTIEMBRE,30,112.39
2012,OCTUBRE,1,112.19
2012,OCTUBRE,2,111.57
2012,OCTUBRE,3,108.17
2012,OCTUBRE,4,112.58
2012,OCTUBRE,5,112.02
2012,OCTUBRE,6,112.02
2012,OCTUBRE,7,112.02
